,Value,3exp_add,3exp_mul
18555,24.0,27.037473152971646,28.90945604342448
18556,27.0,31.227818189265257,27.9733897789465
18557,28.0,25.142179136428638,26.746671693579604
18558,34.0,26.24246231000531,29.477931575379415
18559,33.0,38.34140303162931,38.07695500874767
18560,40.0,29.426705324402498,33.903512729835406
18561,43.0,38.57686323686761,39.89505310477969
18562,51.0,43.97036199000227,40.03328483365496
18563,48.0,42.058970870416715,43.14506815619525
18564,43.0,42.41852920070427,43.76999190210823
18565,30.0,41.37126081112783,43.98912253422291
18566,23.0,30.405518772589232,33.184482775668066
18567,23.0,14.897792628046268,24.679544699686684
18568,22.0,25.478921345257646,27.891443345038354
18569,27.0,29.162921698575328,26.34426994502935
18570,32.0,35.78882865165581,27.684906156858585
18571,23.0,30.13494974272082,29.897578905124426
18572,32.0,26.0624334309623,24.016159897857335
18573,23.0,26.10777246241938,29.848057505647237
18574,24.0,24.485313798189846,22.971364086832466
18575,23.0,21.136562672732197,25.262746950702518
18576,24.0,22.017051882839667,24.821338901448083
18577,24.0,24.153558505563918,25.68723582644512
18578,19.0,25.914493012183552,24.41715219925302
18579,24.0,20.046007595845197,21.18648881293512
18580,36.0,17.786403262951428,23.189670183324107
18581,45.0,34.97579921309253,35.05019539876688
18582,49.0,45.1163246911571,47.53468622772918
18583,45.0,51.7361302938633,50.66455310826889
18584,35.0,45.724103925281625,45.06852345344349
18585,27.0,34.731864271389576,35.29027581782132
18586,20.0,23.76821141247812,29.31596843992531
18587,18.0,20.18218828386779,21.256539304356725
18588,25.0,17.472762893794282,18.110031592155387
18589,22.0,20.980812695950817,23.077090663170633
18590,20.0,17.426661858195544,22.558561523233667
18591,24.0,22.920595494033385,21.586858006489752
18592,27.0,26.93036773564713,25.691931938475225
18593,27.0,29.486268199230466,29.179674399460417
18594,30.0,28.269996074889335,28.61358204071282
18595,27.0,27.905543820121235,31.503801648405545
18596,29.0,27.210379600261973,28.085065115175524
18597,25.0,28.370615069719126,30.417189336042068
18598,23.0,30.190858392620264,26.9402070327993
18599,26.0,24.853402187998526,24.443321318433846
18600,26.0,30.98497848153836,25.868971313600078
18601,34.0,25.2579806854609,28.64114277334879
18602,38.0,35.31724773269483,35.83685785357562
18603,35.0,41.33579995812462,37.09317579078486
18604,32.0,26.385624346364807,34.798020994313774
18605,39.0,31.489977305956753,32.92920859741237
18606,39.0,36.60753190243555,39.42322495067971
18607,47.0,42.58475176016701,40.86572062009504
18608,47.0,49.8554074805726,52.07031642404296
18609,48.0,48.1782890974379,52.436261380483316
18610,33.0,51.64967590819779,53.43879657302817
18611,31.0,36.47283351987643,35.20585329579999
18612,32.0,33.738142792067656,33.24692762315405
18613,35.0,29.301154803343735,32.07016719182264
18614,44.0,37.041509644684865,34.8554978625926
18615,45.0,48.99563227304894,47.538124486486915
18616,46.0,45.014492831611875,45.54220610895573
18617,47.0,43.685421778193955,43.53082282148007
18618,47.0,48.828354288411134,48.32108076908392
18619,48.0,45.02105443750426,47.08407665350864
18620,52.0,43.376784962178164,45.98539258109199
18621,47.0,48.93400906930844,47.63877279648107
18622,48.0,41.320780021391236,44.852981422914304
18623,41.0,42.974856167928166,47.005024431683914
18624,49.0,37.68726444695385,43.513144017609456
18625,48.0,48.03490273334787,51.52173162851535
18626,29.0,48.92732425694233,49.03852379802946
18627,27.0,29.728718922932032,32.406324909571055
18628,33.0,31.30799337537176,33.50044105421392
18629,21.0,33.91309015616139,35.854385487163235
18630,17.0,24.122542223640938,24.144270603823365
18631,24.0,16.333089829674442,17.885904307855668
18632,19.0,21.17321109384553,22.255484319370876
18633,17.0,13.87613448960501,18.546762641012005
18634,21.0,19.140403949991004,16.73346757819103
18635,17.0,13.314315741260465,19.043203503010364
18636,20.0,11.420984530231253,17.510821442162946
18637,26.0,24.710006335625696,19.12396103124299
18638,27.0,22.4533979930432,24.03475018113107
18639,28.0,28.304595162567367,28.133030154524167
18640,27.0,22.10816300299774,27.00311188729507
18641,31.0,27.150886753050074,27.07891768472998
18642,31.0,29.101948324316787,31.097982903905297
