,Value
1602,46.9
1603,54.0
1604,55.0
1605,55.0
1606,55.0
1607,54.0
1608,54.0
1609,55.0
1610,55.0
1611,55.4
1612,55.0
1613,55.0
1614,55.9
1615,55.9
1616,57.9
1617,57.0
1618,57.9
1619,57.0
1620,57.0
1621,57.9
1622,57.9
1623,57.9
1624,57.0
1625,57.0
1626,59.0
1627,60.1
1628,59.0
1629,59.0
1630,60.1
1631,57.0
1632,55.9
1633,53.1
1634,53.1
1635,53.1
1636,53.1
1637,55.0
1638,53.1
1639,52.0
1640,52.0
1641,51.1
1642,50.0
1643,50.0
1644,48.9
1645,48.2
1646,48.0
1647,48.0
1648,48.0
1649,46.9
1650,45.0
1651,39.9
1652,41.0
1653,41.0
1654,39.9
1655,39.9
1656,39.9
1657,39.0
1658,39.0
1659,39.0
1660,39.9
1661,39.9
1662,39.9
1663,37.9
1664,37.9
1665,37.9
1666,37.9
1667,36.0
1668,36.0
1669,35.1
1670,34.0
1671,33.1
1672,32.0
1673,30.9
1674,32.0
1675,33.1
1676,34.0
1677,35.1
1678,35.1
1679,36.0
1680,35.1
1681,35.1
1682,34.0
1683,32.0
1684,32.0
1685,30.0
1686,30.0
1687,28.9
1688,28.0
1689,28.0
1690,27.0
1691,27.0
1692,27.0
1693,26.1
1694,27.0
1695,27.0
1696,27.0
1697,28.0
1698,30.0
1699,30.9
1700,32.0
1701,36.0
1702,37.0
1703,39.0
1704,39.9
1705,41.0
1706,39.9
1707,39.9
1708,39.9
1709,39.0
1710,39.0
1711,39.0
1712,39.0
1713,39.0
1714,39.0
1715,39.0
1716,37.9
1717,37.9
1718,37.9
1719,37.9
1720,39.0
1721,39.0
1722,41.0
1723,45.0
1724,48.9
1725,53.1
1726,57.0
1727,57.9
1728,60.1
1729,60.1
1730,60.1
1731,59.0
1732,57.9
1733,57.0
1734,55.0
1735,53.1
1736,51.1
1737,52.0
1738,51.1
1739,51.1
1740,50.0
1741,50.0
1742,50.0
1743,51.1
1744,50.0
1745,50.0
1746,52.0
1747,52.0
1748,50.0
1749,46.9
1750,52.0
1751,57.0
1752,60.1
1753,60.1
1754,57.9
1755,55.0
1756,53.1
1757,51.1
1758,48.9
1759,48.0
1760,48.0
1761,46.9
1762,48.0
1763,46.0
1764,46.9
1765,46.0
1766,42.1
1767,41.0
1768,39.9
1769,39.0
1770,39.0
1771,42.1
1772,44.1
1773,46.9
1774,48.9
1775,51.1
1776,48.0
1777,46.9
1778,45.0
1779,45.0
1780,45.0
1781,46.0
1782,48.0
1783,48.9
1784,48.9
1785,48.9
1786,50.0
1787,52.0
1788,52.0
1789,52.0
1790,51.1
1791,51.1
1792,50.0
1793,53.1
1794,55.0
1795,54.0
1796,50.0
1797,51.1
1798,46.9
1799,44.1
1800,43.0
1801,42.1
1802,39.9
1803,39.9
1804,42.1
1805,39.9
1806,39.9
1807,39.0
1808,37.0
1809,35.1
1810,34.0
1811,32.0
1812,30.9
1813,30.0
1814,28.9
1815,28.0
1816,28.0
1817,27.0
1818,26.1
1819,26.1
1820,26.1
1821,26.1
1822,26.1
1823,26.1
1824,28.0
1825,30.9
1826,32.0
1827,34.0
1828,34.0
1829,34.0
1830,35.1
1831,35.1
1832,34.0
1833,35.1
1834,35.1
1835,34.0
1836,34.0
1837,34.0
1838,35.1
1839,33.1
1840,32.0
1841,32.0
1842,30.9
1843,30.9
1844,30.9
1845,30.9
1846,30.2
1847,30.9
1848,30.9
1849,30.9
1850,30.9
1851,30.0
1852,30.9
1853,30.0
1854,30.9
1855,30.9
1856,30.0
1857,30.0
1858,30.0
1859,30.0
1860,30.0
1861,30.2
1862,30.0
1863,30.0
1864,30.9
1865,30.2
1866,30.9
1867,30.0
1868,30.0
1869,30.0
1870,30.0
1871,30.0
1872,30.0
1873,30.0
1874,30.0
1875,30.9
1876,30.0
1877,30.0
1878,30.9
1879,30.9
1880,30.9
1881,32.0
1882,34.0
1883,35.1
1884,36.0
1885,37.0
1886,39.0
1887,39.0
1888,37.9
1889,37.0
1890,36.0
1891,35.1
1892,34.0
1893,34.0
1894,33.1
1895,32.0
1896,30.9
1897,30.9
1898,30.0
1899,30.0
1900,28.9
1901,28.0
1902,28.9
1903,30.0
1904,32.0
1905,35.1
1906,37.0
1907,36.0
1908,37.9
1909,37.9
1910,39.9
1911,39.0
1912,37.9
1913,37.0
1914,36.0
1915,35.1
1916,36.0
1917,35.1
1918,34.0
1919,35.1
1920,34.0
1921,34.0
1922,33.1
1923,32.0
1924,33.1
1925,33.1
1926,34.0
1927,36.0
1928,37.0
1929,37.9
1930,39.9
1931,39.9
1932,42.1
1933,44.1
1934,44.1
1935,44.1
1936,43.0
1937,42.1
1938,39.9
1939,39.9
1940,39.9
1941,39.0
1942,39.0
1943,37.9
1944,37.9
1945,37.0
1946,37.0
1947,39.0
1948,36.0
1949,37.0
1950,37.9
1951,39.9
1952,44.1
1953,46.9
1954,50.0
1955,53.1
1956,55.9
1957,57.9
1958,60.1
1959,60.1
1960,60.1
1961,59.0
1962,57.0
1963,55.9
1964,55.0
1965,55.0
1966,54.0
1967,53.1
1968,53.1
1969,51.1
1970,52.0
1971,50.0
1972,48.0
1973,48.9
1974,50.0
1975,54.0
1976,57.9
1977,62.1
1978,64.9
1979,62.1
1980,62.1
1981,60.1
1982,55.9
1983,55.0
1984,53.1
1985,51.1
1986,51.1
1987,50.0
1988,50.0
1989,48.9
1990,48.0
1991,46.9
1992,46.9
1993,46.0
1994,46.0
1995,45.0
1996,45.0
1997,45.0
1998,48.9
1999,55.0
2000,59.0
2001,64.9
2002,69.1
2003,73.9
2004,75.9
2005,73.0
2006,71.1
2007,72.0
2008,69.1
2009,72.0
2010,71.1
2011,72.0
2012,70.0
2013,69.1
2014,69.1
2015,66.9
2016,66.9
2017,66.0
2018,64.9
2019,64.9
2020,64.0
2021,64.0
2022,64.0
2023,66.9
2024,71.1
2025,73.9
2026,73.9
2027,75.0
2028,75.9
2029,77.0
2030,78.1
2031,77.0
2032,75.9
2033,75.0
2034,75.0
2035,72.0
2036,69.1
2037,69.1
2038,68.0
2039,66.9
2040,66.0
2041,64.0
2042,57.9
2043,55.9
2044,55.9
2045,55.9
2046,55.9
2047,55.9
2048,55.9
2049,55.9
2050,57.0
2051,57.9
2052,57.9
2053,55.9
2054,57.9
2055,59.0
2056,59.0
2057,62.1
2058,63.0
2059,63.0
2060,61.0
2061,59.0
2062,57.0
2063,55.0
2064,53.1
2065,51.1
2066,50.0
2067,48.0
2068,46.9
2069,46.0
2070,44.1
2071,43.0
2072,41.0
2073,39.9
2074,41.0
2075,43.0
2076,46.9
2077,48.9
2078,53.1
2079,55.9
2080,57.0
2081,57.9
2082,55.9
2083,55.0
2084,55.9
2085,55.9
2086,57.0
2087,55.9
2088,55.9
2089,55.0
2090,54.0
2091,53.1
2092,52.0
2093,52.0
2094,52.0
2095,52.0
2096,53.1
2097,53.1
2098,54.0
2099,55.9
2100,57.9
2101,60.1
2102,60.1
2103,61.0
2104,61.0
2105,61.0
2106,62.1
2107,61.0
2108,61.0
2109,60.1
2110,57.0
2111,55.0
2112,53.1
2113,52.0
2114,52.0
2115,50.0
2116,50.0
2117,51.1
2118,51.1
2119,51.1
2120,50.0
2121,48.0
2122,46.9
2123,46.0
2124,43.0
2125,43.0
2126,43.0
2127,43.0
2128,43.0
2129,43.0
2130,44.1
2131,43.0
2132,43.0
2133,42.1
2134,41.0
2135,42.1
2136,41.0
2137,41.0
